"namespace","key","english_text","placeholders","translation","notes"
"IG_UI","IGUI_ItemCat_ContainerFirearm","Container - Firearm","","",""
"IG_UI","IGUI_ItemCat_Cooking","Cooking","","",""
"IG_UI","IGUI_ItemCat_CraftAmmo","Crafting - Ammunition","","",""
"IG_UI","IGUI_ItemCat_CraftCarpentry","Crafting - Carpentry","","",""
"IG_UI","IGUI_ItemCat_CraftElectronics","Crafting - Electronics","","",""
"IG_UI","IGUI_ItemCat_Crafting","Crafting","","",""
"IG_UI","IGUI_ItemCat_CraftKnapping","Crafting - Knapping","","",""
"IG_UI","IGUI_ItemCat_CraftMasonry","Crafting - Masonry","","",""
"IG_UI","IGUI_ItemCat_CraftMetal","Crafting - Metalworking","","",""
"IG_UI","IGUI_ItemCat_CraftTailoring","Crafting - Tailoring","","",""
"IG_UI","IGUI_ItemCat_Drugs","Drugs","","",""
"IG_UI","IGUI_ItemCat_Electronics","Electronics","","",""
"IG_UI","IGUI_ItemCat_FirstAid","First Aid","","",""
"IG_UI","IGUI_ItemCat_FoodAlcBeer","Food - Alcohol - Beer","","",""
"IG_UI","IGUI_ItemCat_FoodAlcBeverage","Food - Alcoholic Beverage","","",""
"IG_UI","IGUI_ItemCat_FoodAlcDrink","Food - Alcoholic Drink","","",""
"IG_UI","IGUI_ItemCat_FoodAlcLiquor","Food - Alcohol - Liquor","","",""
"IG_UI","IGUI_ItemCat_FoodAlcohol","Food - Alcohol","","",""
"IG_UI","IGUI_ItemCat_FoodAlcWine","Food - Alcohol - Wine","","",""
"IG_UI","IGUI_ItemCat_FoodBeverage","Food - Beverage","","",""
"IG_UI","IGUI_ItemCat_FoodCanned","Food - Non-Perishable - Can","","",""
"IG_UI","IGUI_ItemCat_FoodIceCream","Food - Ice Cream","","",""
"IG_UI","IGUI_ItemCat_FoodMeal","Food - Meal","","",""
"IG_UI","IGUI_ItemCat_FoodMilk","Food - Milk","","",""
"IG_UI","IGUI_ItemCat_FoodNonPerish","Food - Non-Perishable","","",""
"IG_UI","IGUI_ItemCat_FoodNonPerishSpice","Food - Non-Perishable - Spice","","",""
"IG_UI","IGUI_ItemCat_FoodPerish","Food - Perishable","","",""
"IG_UI","IGUI_ItemCat_FoodPerishSpice","Food - Perishable - Spice","","",""
"IG_UI","IGUI_ItemCat_FoodSpice","Food - Spice","","",""
"IG_UI","IGUI_ItemCat_FoodWater","Food - Water","","",""
"IG_UI","IGUI_ItemCat_Fuel","Fuel","","",""
"IG_UI","IGUI_ItemCat_Furniture","Furniture","","",""
"IG_UI","IGUI_ItemCat_Junk","Junk","","",""
"IG_UI","IGUI_ItemCat_Key","Key","","",""
"IG_UI","IGUI_ItemCat_LightSource","Light Source","","",""
"IG_UI","IGUI_ItemCat_LitCartography","Literature - Cartography","","",""
"IG_UI","IGUI_ItemCat_LitEntertainment","Literature - Entertainment","","",""
"IG_UI","IGUI_ItemCat_LitHolder","Literature - Holder","","",""
"IG_UI","IGUI_ItemCat_LitMisc","Literature - Misc","","",""
"IG_UI","IGUI_ItemCat_LitRecipe","Literature - Recipe","","",""
"IG_UI","IGUI_ItemCat_LitSchematic","Literature - Schematic","","",""
"IG_UI","IGUI_ItemCat_LitSkill","Literature - Skill","","",""
"IG_UI","IGUI_ItemCat_LitWriting","Literature - Writing","","",""
"IG_UI","IGUI_ItemCat_Mechanics","Mechanics","","",""
"IG_UI","IGUI_ItemCat_MediaAudio","Media - Audio","","",""
"IG_UI","IGUI_ItemCat_MediaGame","Media - Game","","",""
"IG_UI","IGUI_ItemCat_MediaVideo","Media - Video","","",""
"IG_UI","IGUI_ItemCat_Paint","Paint","","",""
"IG_UI","IGUI_ItemCat_Plushie","Plushie","","",""
"IG_UI","IGUI_ItemCat_ProtGearArms","Protective Gear - Arms","","",""
"IG_UI","IGUI_ItemCat_ProtGearBody","Protective Gear - Body","","",""
"IG_UI","IGUI_ItemCat_ProtGearFeet","Protective Gear - Feet","","",""
"IG_UI","IGUI_ItemCat_ProtGearHands","Protective Gear - Hands","","",""
"IG_UI","IGUI_ItemCat_ProtGearHead","Protective Gear - Head","","",""
"IG_UI","IGUI_ItemCat_ProtGearLegs","Protective Gear - Legs","","",""
"IG_UI","IGUI_ItemCat_ProtGearMisc","Protective Gear - Misc","","",""
"IG_UI","IGUI_ItemCat_Specimen","Specimen","","",""
"IG_UI","IGUI_ItemCat_SurvivalCamping","Survival - Camping","","",""
"IG_UI","IGUI_ItemCat_SurvivalFarming","Survival - Farming","","",""
"IG_UI","IGUI_ItemCat_SurvivalFishing","Survival - Fishing","","",""
"IG_UI","IGUI_ItemCat_SurvivalTrapping","Survival - Trapping","","",""
"IG_UI","IGUI_ItemCat_TacticalGear","Tactical Gear","","",""
"IG_UI","IGUI_ItemCat_Tool","Tool","","",""
"IG_UI","IGUI_ItemCat_WeaponBomb","Weapon - Bomb","","",""
"IG_UI","IGUI_ItemCat_WeaponFirearm","Weapon - Firearm","","",""
"IG_UI","IGUI_ItemCat_WeaponMagazine","Weapon - Magazine","","",""
"IG_UI","IGUI_ItemCat_WeaponMelee","Weapon - Melee","","",""
"IG_UI","IGUI_ItemCat_WeaponPart","Weapon - Part","","",""
"IG_UI","IGUI_ItemCat_WeaponShield","Weapon - Shield","","",""
"UI","UI_Sorted_allItems","All Items","","",""
"UI","UI_Sorted_apply","Apply","","",""
"UI","UI_Sorted_applyToSelected","Apply to Selected","","",""
"UI","UI_Sorted_assignCategory","Assign Category","","",""
"UI","UI_Sorted_cancel","Cancel","","",""
"UI","UI_Sorted_categoryManager","Category Manager","","",""
"UI","UI_Sorted_changeCategoryFor","Change display category for:","","",""
"UI","UI_Sorted_chooseCategory","Choose category:","","",""
"UI","UI_Sorted_clearSelection","Clear","","",""
"UI","UI_Sorted_defaultCategory","Default category: %s","%s","",""
"UI","UI_Sorted_openManager","Open Category Manager","","",""
"UI","UI_Sorted_orTypeCustom","Or type custom category:","","",""
"UI","UI_Sorted_resetToDefault","Reset to default category","","",""
"UI","UI_Sorted_savedCategory","Saved category: %s","%s","",""
"UI","UI_Sorted_search","Search:","","",""
"UI","UI_Sorted_selectedItems","Selected Items","","",""
"UI","UI_Sorted_warningCheckbox","I understand, do not show this message again.","","",""
"UI","UI_Sorted_warningTitle1","WARNING! The applied changes aren't immediate.","","",""
"UI","UI_Sorted_warningTitle2","Category change: You need to reload the save for them to take effect.","","",""
"UI","UI_Sorted_warningTitle3","New category: You need to REBOOT the game for them to take effect.","","",""
